categoria,anio,artefacto,institucion,pagina_oficial,url_descarga_directa,metodo_paquete,notas
Urgencias,2020,AtencionesUrgencia2020.zip,MINSAL / DEIS,https://datos.gob.cl/dataset/atenciones-de-urgencia,https://repositoriodeis.minsal.cl/DatosAbiertos/AtencionesDeUrgencia/AtencionesUrgencia2020.zip,automatico,ZIP oficial; contiene CSV anual de atenciones de urgencia.
Urgencias,2021,AtencionesUrgencia2021.zip,MINSAL / DEIS,https://datos.gob.cl/dataset/atenciones-de-urgencia,https://repositoriodeis.minsal.cl/DatosAbiertos/AtencionesDeUrgencia/AtencionesUrgencia2021.zip,automatico,ZIP oficial; contiene CSV anual de atenciones de urgencia.
Urgencias,2022,AtencionesUrgencia2022.zip,MINSAL / DEIS,https://datos.gob.cl/dataset/atenciones-de-urgencia,https://repositoriodeis.minsal.cl/DatosAbiertos/AtencionesDeUrgencia/AtencionesUrgencia2022.zip,automatico,ZIP oficial; contiene CSV anual de atenciones de urgencia.
Urgencias,2023,AtencionesUrgencia2023.zip,MINSAL / DEIS,https://datos.gob.cl/dataset/atenciones-de-urgencia,https://repositoriodeis.minsal.cl/SistemaAtencionesUrgencia/AtencionesUrgencia2023.zip,automatico,ZIP oficial; contiene CSV anual de atenciones de urgencia.
Urgencias,2024,AtencionesUrgencia2024.zip,MINSAL / DEIS,https://datos.gob.cl/dataset/atenciones-de-urgencia,https://repositoriodeis.minsal.cl/SistemaAtencionesUrgencia/AtencionesUrgencia2024.zip,automatico,ZIP oficial; contiene CSV anual de atenciones de urgencia.
Urgencias,2020-2024,Diccionario de datos AtencionesUrgencia.xlsx,MINSAL / DEIS,https://datos.gob.cl/dataset/atenciones-de-urgencia,https://datos.gob.cl/dataset/be2a922f-8ea4-4ebc-8828-0c713b702cd2/resource/79c05b22-391b-4dbd-a362-ba088fecabab/download/diccionario-de-datos-atencionesurgencia.xlsx,automatico,Diccionario común publicado en el catálogo oficial.
Establecimientos,2020,Base de Establecimientos 2020.xlsx,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,https://repositoriodeis.minsal.cl/ContenidoSitioWeb2020/Establecimientos/Base%20de%20Establecimientos%202020.xlsx,automatico,Base anual oficial de establecimientos.
Establecimientos,2020,Diccionario de Datos 2020.xlsx,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,https://repositoriodeis.minsal.cl/ContenidoSitioWeb2020/Establecimientos/Diccionario%20de%20Datos%202020.xlsx,automatico,Diccionario anual; usar el correspondiente al año analizado.
Establecimientos,2021,Base de Establecimientos 2021.xlsx,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,https://repositoriodeis.minsal.cl/ContenidoSitioWeb2020/Establecimientos/Base%20de%20Establecimientos%202021.xlsx,automatico,Base anual oficial de establecimientos.
Establecimientos,2021,Diccionario de Datos 2021.xlsx,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,https://repositoriodeis.minsal.cl/ContenidoSitioWeb2020/Establecimientos/Diccionario%20de%20Datos%202021.xlsx,automatico,Diccionario anual; usar el correspondiente al año analizado.
Establecimientos,2022,Base de Establecimientos 2022.xlsx,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,https://repositoriodeis.minsal.cl/ContenidoSitioWeb2020/Establecimientos/Base%20de%20Establecimientos%202022.xlsx,automatico,Base anual oficial de establecimientos.
Establecimientos,2022,Diccionario de Datos 2022.xlsx,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,https://repositoriodeis.minsal.cl/ContenidoSitioWeb2020/Establecimientos/Diccionario%20de%20Datos%202022.xlsx,automatico,Diccionario anual; usar el correspondiente al año analizado.
Establecimientos,2023,Base de Establecimientos 2023.xlsx,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,https://repositoriodeis.minsal.cl/ContenidoSitioWeb2020/Establecimientos/Base%20de%20Establecimientos%202023.xlsx,automatico,Base anual oficial de establecimientos.
Establecimientos,2023,Diccionario de Datos 2023.xlsx,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,https://repositoriodeis.minsal.cl/ContenidoSitioWeb2020/Establecimientos/Diccionario%20de%20Datos%202023.xlsx,automatico,Diccionario anual; usar el correspondiente al año analizado.
Establecimientos,2024,Base de Establecimientos 2024.xlsx,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,https://repositoriodeis.minsal.cl/ContenidoSitioWeb2020/Establecimientos/Base%20de%20Establecimientos%202024.xlsx,automatico,Base anual oficial de establecimientos.
Establecimientos,2024,Diccionario de Datos 2024.xlsx,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,https://repositoriodeis.minsal.cl/ContenidoSitioWeb2020/Establecimientos/Diccionario%20de%20Datos%202024.xlsx,automatico,Diccionario anual; usar el correspondiente al año analizado.
REM,2020,Base REM 2020,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,,catalogo_oficial,"Buscar REM y seleccionar el año. DEIS advierte que códigos, columnas y secciones pueden variar por año; descargar también el diccionario anual."
REM,2020,Diccionario REM 2020,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,,catalogo_oficial,Diccionario anual requerido para interpretar códigos y prestaciones.
REM,2021,Base REM 2021,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,,catalogo_oficial,"Buscar REM y seleccionar el año. DEIS advierte que códigos, columnas y secciones pueden variar por año; descargar también el diccionario anual."
REM,2021,Diccionario REM 2021,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,,catalogo_oficial,Diccionario anual requerido para interpretar códigos y prestaciones.
REM,2022,Base REM 2022,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,,catalogo_oficial,"Buscar REM y seleccionar el año. DEIS advierte que códigos, columnas y secciones pueden variar por año; descargar también el diccionario anual."
REM,2022,Diccionario REM 2022,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,,catalogo_oficial,Diccionario anual requerido para interpretar códigos y prestaciones.
REM,2023,Base REM 2023,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,,catalogo_oficial,"Buscar REM y seleccionar el año. DEIS advierte que códigos, columnas y secciones pueden variar por año; descargar también el diccionario anual."
REM,2023,Diccionario REM 2023,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,,catalogo_oficial,Diccionario anual requerido para interpretar códigos y prestaciones.
REM,2024,Base REM 2024,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,,catalogo_oficial,"Buscar REM y seleccionar el año. DEIS advierte que códigos, columnas y secciones pueden variar por año; descargar también el diccionario anual."
REM,2024,Diccionario REM 2024,MINSAL / DEIS,https://deis.minsal.cl/#datosabiertos,,catalogo_oficial,Diccionario anual requerido para interpretar códigos y prestaciones.
GRD,2020,GRD / GRD-IR 2020,FONASA,https://datosabiertos.fonasa.cl/,,catalogo_oficial,Seleccionar la base GRD/GRD-IR del año en Datos Abiertos FONASA. No se fija URL binaria porque el portal entrega los archivos dinámicamente.
GRD,2021,GRD / GRD-IR 2021,FONASA,https://datosabiertos.fonasa.cl/,,catalogo_oficial,Seleccionar la base GRD/GRD-IR del año en Datos Abiertos FONASA. No se fija URL binaria porque el portal entrega los archivos dinámicamente.
GRD,2022,GRD / GRD-IR 2022,FONASA,https://datosabiertos.fonasa.cl/,,catalogo_oficial,Seleccionar la base GRD/GRD-IR del año en Datos Abiertos FONASA. No se fija URL binaria porque el portal entrega los archivos dinámicamente.
GRD,2023,GRD / GRD-IR 2023,FONASA,https://datosabiertos.fonasa.cl/,,catalogo_oficial,Seleccionar la base GRD/GRD-IR del año en Datos Abiertos FONASA. No se fija URL binaria porque el portal entrega los archivos dinámicamente.
GRD,2024,GRD / GRD-IR 2024,FONASA,https://datosabiertos.fonasa.cl/,,catalogo_oficial,Seleccionar la base GRD/GRD-IR del año en Datos Abiertos FONASA. No se fija URL binaria porque el portal entrega los archivos dinámicamente.
cartografia_censo_2024,2024,Cartografía censal Censo 2024 - Chile,INE,https://www.ine.gob.cl/herramientas/portal-de-mapas/geodatos-abiertos,,catalogo_oficial,"En Geodatos Abiertos: Documentos y descargas > Cartografía > Censo 2024. Preferir cobertura nacional; hay capas político-administrativas y divisiones censales, en Shapefile y Geodatabase comprimidos."
cartografia_censo_2024,2024,Base manzana-entidad / documentación asociada,INE,https://censo2024.ine.gob.cl/resultados/,,catalogo_oficial,Complemento opcional para vincular resultados censales con la cartografía; revisar diccionario y manual de uso.
