year,month,matched_units,denominator,numerator,matched_share_pct
2020,6,71,51673.0,17368.0,33.61136376831227
2020,12,1724,637841.0,223576.0,35.051995716800896
2021,6,1704,541938.0,192170.0,35.45977584151693
2021,12,1741,553959.0,207892.0,37.528409142192835
2022,6,1781,562928.0,205999.0,36.59420032402012
2022,12,1766,612328.0,217136.0,35.460733463111275
2023,6,1753,607763.0,210248.0,34.59374789185916
2023,12,1752,616272.0,214210.0,34.75900251836851
2024,6,1764,603749.0,212264.0,35.157656575828696
2024,12,1762,603457.0,209545.0,34.72409798875479
